V	169	0.469444
N	523	1.452778
N	456	1.266667
V	334	0.927778
N	501	1.391667
N	399	1.108333
V	364	1.011111
N	477	1.325000
N	447	1.241667
V	325	0.902778
N	485	1.347222
N	426	1.183333
V	371	1.030556
N	485	1.347222
N	430	1.194444
V	321	0.891667
N	509	1.413889
N	445	1.236111
V	365	1.013889
N	457	1.269444
N	410	1.138889
V	339	0.941667
N	489	1.358333
N	442	1.227778
V	341	0.947222
N	440	1.222222
N	412	1.144444
V	341	0.947222
N	479	1.330556
N	439	1.219444
V	310	0.861111
N	516	1.433333
N	431	1.197222
V	343	0.952778
N	527	1.463889
N	410	1.138889
V	317	0.880556
N	515	1.430556
N	418	1.161111
V	373	1.036111
N	468	1.300000
N	427	1.186111
V	318	0.883333
N	572	1.588889
N	431	1.197222
V	317	0.880556
N	502	1.394444
N	432	1.200000
V	341	0.947222
N	482	1.338889
N	420	1.166667
V	308	0.855556
N	466	1.294444
N	446	1.238889
V	330	0.916667
N	478	1.327778
N	423	1.175000
V	306	0.850000
N	518	1.438889
N	446	1.238889
V	317	0.880556
N	506	1.405556
N	409	1.136111
V	332	0.922222
N	526	1.461111
N	424	1.177778
V	314	0.872222
