-5.6549,2
10.103,3
10.136,3
-5.3301,2
-7.194,2
5.7377,2
-5.1593,2
-10.461,2
-7.9604,2
-4.0339,2
2.4746,1
-1.0722,2
-0.12376,2
4.041,1
4.2438,1
-7.6813,2
-6.6586,2
-6.2144,2
2.4323,1
7.234,1
1.2566,1
1.1441,1
5.2806,1
-8.6008,2
1.1972,1
-0.30017,1
-5.3137,2
5.387,1
-6.2039,2
-5.4658,2
6.3636,1
10.016,3
1.5056,1
-5.9243,2
4.2807,1
4.7239,1
-1.2182,1
1.9118,1
10.299,3
1.9441,1
3.3278,1
-6.2165,2
10.27,3
9.9172,3
7.5636,1
0.13916,1
-3.2527,2
3.2542,1
7.6637,1
-6.9129,2
-2.0856,2
4.479,1
7.5104,1
-8.9283,2
4.9549,1
10.009,3
-0.80613,2
9.8103,3
2.6011,1
0.37998,2
6.243,1
4.3388,1
7.4669,1
-2.3186,2
2.653,1
-7.8586,2
3.3575,1
9.9144,3
-7.0737,2
4.0009,1
-6.158,2
1.8932,1
-6.4681,2
-5.9632,2
3.0654,1
-1.4147,2
10.218,3
1.6154,2
-4.3867,2
3.4051,1
-0.78012,2
7.2168,1
3.0104,1
2.5923,1
-5.6534,2
9.9987,3
-13.487,2
-4.0099,2
-4.0859,2
1.6109,2
1.468,1
-7.8469,2
2.7852,1
-8.1723,2
-2.5124,2
-8.3073,2
4.6216,1
1.5024,1
3.3026,1
3.2595,2
