-5.2393,1.2388,2
4.0437,4.5473,1
5.9902,7.5401,3
-1.3144,2.8117,2
4.8442,4.9534,3
3.6934,1.6577,1
6.0571,-1.1827,1
-4.5459,0.60691,2
4.7359,0.24546,1
4.1556,3.3646,1
6.7685,-0.55749,1
7.4868,10.235,3
4.0374,1.7652,1
4.418,2.2677,1
4.2036,5.456,1
-1.8672,1.8801,2
3.4681,3.0181,1
1.1496,3.5004,1
4.4307,1.8966,1
7.276,6.5925,3
4.7729,2.0201,1
5.9035,1.0893,1
-2.5631,3.2671,2
5.6289,5.5501,3
-4.4796,3.0573,2
6.2943,-0.22331,1
5.472,-0.55228,1
-2.3017,2.1259,2
7.1655,-0.086061,1
-4.4971,0.15185,2
6.6297,0.1615,1
3.3105,3.2965,1
4.9647,-0.25556,1
-5.9136,1.3876,2
-4.0965,1.9327,2
-1.1514,3.0482,2
5.8346,7.0744,3
-3.3179,3.0926,2
-4.3416,1.1524,2
-3.6617,0.76193,2
6.1434,7.5531,3
1.7236,3.3458,1
-2.4914,0.18729,2
6.6902,6.0908,3
5.1676,8.1581,3
-4.4006,-2.6871,2
-3.5455,0.90203,2
-4.0999,2.4292,2
-4.581,2.4367,2
-1.003,1.6799,2
4.482,2.646,1
-2.9896,1.6726,2
0.13313,4.716,2
-3.9163,2.2739,2
4.3668,2.8518,1
6.8332,10.112,3
3.3117,4.7887,3
0.92661,3.0662,1
4.3852,2.1876,1
2.7489,3.6834,1
1.8907,3.0716,1
5.4177,8.7215,3
-3.3395,1.7787,2
5.3747,6.3867,3
-2.794,2.8141,2
-3.7294,2.4976,2
-1.7129,2.4774,2
-3.1465,0.63381,2
2.5214,5.1169,1
5.4466,1.7391,1
7.3133,6.737,3
5.3716,1.6956,1
5.9322,5.8829,3
-4.4542,1.3873,2
-2.5085,2.6526,2
-3.2335,1.7453,2
4.605,3.0144,1
1.6588,4.0007,1
1.4166,4.3457,1
5.915,-0.68024,1
4.3718,2.5446,1
-2.6947,1.8196,2
4.7391,1.1145,1
-1.2653,-0.35394,2
5.1046,9.5095,3
3.9191,7.6135,3
5.696,8.5656,3
-0.97789,4.4847,2
3.3255,2.7951,1
1.0429,4.5148,2
-4.336,-0.46832,2
5.7206,8.7931,3
5.3782,-1.1047,1
7.1992,8.5093,3
3.3885,2.6451,1
4.5359,9.3097,3
5.2983,8.4224,3
1.3588,5.2817,1
-3.8145,1.7775,2
-5.3312,-3.1533,2
-3.7376,0.84179,2
1.2046,2.7077,1
-4.6934,1.8399,2
-3.1618,-0.088642,2
4.6309,0.63231,1
0.15445,4.6002,2
0.76436,5.4217,2
0.11194,2.1861,2
7.1047,1.0475,1
-2.2693,1.9708,2
3.405,1.5611,1
3.9079,1.2814,1
6.3337,9.4803,3
-3.1301,3.7111,2
6.0467,10.301,3
-2.4123,5.3629,2
7.2852,8.9298,3
3.8228,4.5137,1
3.0201,2.2402,1
-5.845,1.4102,2
4.6682,7.2493,3
6.499,1.2437,1
2.5764,2.8453,1
6.3899,8.5945,3
