N	105	0.291667
N	236	0.655556
N	234	0.650000
N	230	0.638889
N	224	0.622222
N	223	0.619444
N	217	0.602778
N	220	0.611111
N	226	0.627778
N	237	0.658333
N	240	0.666667
N	229	0.636111
N	229	0.636111
N	230	0.638889
N	225	0.625000
N	229	0.636111
N	226	0.627778
N	216	0.600000
N	232	0.644444
N	236	0.655556
N	239	0.663889
N	242	0.672222
N	237	0.658333
N	233	0.647222
N	222	0.616667
N	226	0.627778
N	218	0.605556
N	230	0.638889
N	245	0.680556
N	244	0.677778
N	241	0.669444
N	235	0.652778
N	230	0.638889
N	232	0.644444
N	237	0.658333
N	222	0.616667
N	231	0.641667
N	234	0.650000
N	240	0.666667
N	237	0.658333
N	227	0.630556
N	236	0.655556
N	239	0.663889
N	232	0.644444
N	236	0.655556
N	226	0.627778
N	244	0.677778
N	256	0.711111
N	253	0.702778
N	242	0.672222
N	235	0.652778
N	237	0.658333
N	236	0.655556
N	226	0.627778
N	229	0.636111
N	248	0.688889
N	241	0.669444
N	241	0.669444
N	232	0.644444
N	233	0.647222
N	234	0.650000
N	226	0.627778
N	226	0.627778
N	210	0.583333
N	227	0.630556
N	241	0.669444
N	236	0.655556
N	228	0.633333
N	238	0.661111
N	228	0.633333
N	226	0.627778
N	218	0.605556
N	220	0.611111
N	235	0.652778
N	235	0.652778
N	237	0.658333
N	230	0.638889
N	228	0.633333
N	227	0.630556
N	220	0.611111
N	226	0.627778
N	225	0.625000
A	175	0.486111
N	256	0.711111
N	235	0.652778
N	234	0.650000
N	234	0.650000
N	227	0.630556
N	224	0.622222
N	222	0.616667
N	216	0.600000
N	215	0.597222
N	221	0.613889
N	234	0.650000
N	245	0.680556
N	247	0.686111
N	230	0.638889
N	229	0.636111
N	221	0.613889
N	226	0.627778
N	227	0.630556
N	211	0.586111
N	228	0.633333
N	228	0.633333
N	211	0.586111
N	248	0.688889
N	224	0.622222
N	230	0.638889
N	225	0.625000
N	217	0.602778
A	183	0.508333
N	240	0.666667
N	232	0.644444
N	239	0.663889
N	236	0.655556
N	228	0.633333
N	220	0.611111
N	225	0.625000
N	222	0.616667
N	215	0.597222
N	209	0.580556
N	223	0.619444
N	233	0.647222
N	233	0.647222
N	227	0.630556
N	224	0.622222
N	229	0.636111
N	226	0.627778
N	217	0.602778
N	210	0.583333
N	215	0.597222
N	224	0.622222
N	234	0.650000
N	234	0.650000
N	231	0.641667
N	232	0.644444
N	229	0.636111
N	228	0.633333
N	223	0.619444
N	223	0.619444
N	243	0.675000
N	245	0.680556
N	243	0.675000
N	240	0.666667
N	232	0.644444
N	233	0.647222
N	227	0.630556
N	200	0.555556
N	250	0.694444
N	219	0.608333
N	232	0.644444
N	235	0.652778
N	241	0.669444
N	235	0.652778
N	226	0.627778
N	224	0.622222
N	219	0.608333
A	169	0.469444
N	237	0.658333
N	234	0.650000
N	236	0.655556
N	239	0.663889
N	225	0.625000
N	231	0.641667
N	222	0.616667
N	222	0.616667
N	227	0.630556
N	218	0.605556
N	214	0.594444
N	222	0.616667
N	232	0.644444
N	235	0.652778
N	222	0.616667
N	225	0.625000
N	228	0.633333
N	219	0.608333
N	219	0.608333
N	207	0.575000
N	223	0.619444
N	235	0.652778
N	235	0.652778
N	233	0.647222
N	223	0.619444
N	224	0.622222
N	219	0.608333
A	175	0.486111
N	258	0.716667
N	222	0.616667
N	240	0.666667
N	244	0.677778
N	227	0.630556
N	245	0.680556
N	235	0.652778
N	235	0.652778
N	224	0.622222
N	222	0.616667
N	211	0.586111
N	224	0.622222
N	229	0.636111
N	235	0.652778
