N	110	0.305556
N	212	0.588889
N	219	0.608333
N	261	0.725000
N	170	0.472222
N	257	0.713889
N	191	0.530556
N	252	0.700000
N	370	1.027778
N	185	0.513889
N	137	0.380556
N	136	0.377778
N	218	0.605556
N	212	0.588889
N	252	0.700000
N	288	0.800000
N	234	0.650000
N	252	0.700000
N	163	0.452778
N	230	0.638889
N	219	0.608333
N	251	0.697222
N	233	0.647222
N	163	0.452778
N	178	0.494444
N	173	0.480556
N	248	0.688889
N	260	0.722222
N	220	0.611111
N	189	0.525000
N	255	0.708333
N	262	0.727778
N	335	0.930556
N	236	0.655556
N	158	0.438889
N	160	0.444444
N	304	0.844444
N	217	0.602778
N	142	0.394444
N	131	0.363889
N	129	0.358333
N	251	0.697222
N	253	0.702778
N	143	0.397222
N	201	0.558333
N	216	0.600000
N	174	0.483333
N	156	0.433333
N	156	0.433333
